LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country full name
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1975,21.582733,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1976,20.754717,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1977,18.390804,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1978,19.791666,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1979,20,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1980,18.75,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1981,18.253969,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1982,20.819113,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1983,19.155844,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1984,18.674698,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1985,19.607843,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1986,18.848167,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1987,18.518518,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1988,18.793503,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1989,18.589743,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1990,18.181818,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1991,16.015625,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1992,14.258555,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1993,13.224638,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1994,14.409722,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.478114,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1997,15.254237,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1998,13.242009,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1999,14.285714,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2000,17.200001,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2001,14.342105,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2002,15,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2003,13.043478,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2004,14.352942,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2005,15.777778,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2006,16.666666,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.4,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.937378,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2009,16.363636,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.042933,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2011,15.966387,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2012,13.75,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2013,18,Australia
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2014,15.384615,Australia
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.141943,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2001,22.801817,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.489223,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2003,21.136923,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.430792,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2005,22.032085,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.855131,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.634275,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.91732,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.355967,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2010,19.188862,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.550554,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.185057,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2013,18.053211,Austria
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2014,17.728884,Austria
BEL,WAGEGAP,TOT,PC_MENWAGE,A,1999,15.182987,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2000,13.599231,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2001,13.186813,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2002,11.604714,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.205184,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2004,11.832061,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2005,11.511092,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2006,10.253268,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2007,9.8736181,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2008,8.9157534,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2009,7.4804616,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2010,7.0437956,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2011,5.838109,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.41115,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2013,5.9128633,Belgium
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2014,3.299,Belgium
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1997,24.705883,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1998,24.855492,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1999,24,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.875,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2001,24.324579,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.013159,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2003,22.50234,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.717949,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2005,21.25,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.123322,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2007,20.808235,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.454546,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2009,20.131868,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.97747,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2011,19.175531,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2012,19.51123,Canada
